timestamp;eventTime;date;hour;service;requests;unique_events;cost
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;logs;72;1;0.00028800
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;rds;46;1;0.00018400
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;s3;747;7;0.00298800
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;sns;45;2;0.00018000
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;sts;1169;2;0.00467600
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;unknown;161;36;0.00064400
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;cloudtrail;24;2;0.00009600
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;ec2;2590;19;0.01036000
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;iam;222;13;0.00088800
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;lambda;11;1;0.00004400
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;logs;29;1;0.00011600
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;s3;291;6;0.00116400
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;sns;14;1;0.00005600
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;sts;1059;2;0.00423600
2017-11-01 00:00:00;2017-11-01 00:00:00;2017-11-01;0;unknown;54;16;0.00021600
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;ec2;979;23;0.00391600
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;iam;116;12;0.00046400
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;lambda;16;1;0.00006400
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;logs;29;1;0.00011600
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;s3;87;2;0.00034800
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;sts;1148;2;0.00459200
2017-12-01 00:00:00;2017-12-01 00:00:00;2017-12-01;0;unknown;47;15;0.00018800
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;cloudtrail;22;2;0.00008800
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;ec2;2234;44;0.00893600
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;elb;33;1;0.00013200
